,_id,username,category
0,6375d6a86cbf1b635cd3ac7c,eric4708,Artist
1,6375d6a86cbf1b635cd3ac7d,beyondtheisland,Entrepreneur
2,6375d6a86cbf1b635cd3ac7e,brassliondistillery,Wine/spirits
3,6375d6a86cbf1b635cd3ac7f,underarmoursg,Clothing (Brand)
4,6375d6a86cbf1b635cd3ac80,jbl_sg,Electronics
5,6375d6a86cbf1b635cd3ac81,the.smiling.afro,Swimming Pool & Hot Tub Service
6,6375d6a86cbf1b635cd3ac82,vannysaywhat,Product/service
7,6375d6a86cbf1b635cd3ac83,edmundchen.sg,Public figure
8,6375d6a86cbf1b635cd3ac84,banyantreehotels,Hotel
9,6375d6a86cbf1b635cd3ac85,kodakstyle_kr,Clothing (Brand)
10,6375d6a86cbf1b635cd3ac86,foryou.sg,"Beauty, cosmetic & personal care"
11,6375d6a86cbf1b635cd3ac87,buffbaby88,Personal blog
12,6375d6a86cbf1b635cd3ac88,pumasportstyle,Clothing (Brand)
13,6375d6a86cbf1b635cd3ac89,closetsingapore,Boutique Store
14,6375d6a86cbf1b635cd3ac8a,revolve,Retail company
15,6375d6a86cbf1b635cd3ac8b,luckykhoonsg,Home Improvement
16,6375d6a86cbf1b635cd3ac8c,absoluteprsg,Product/service
17,6375d6a86cbf1b635cd3ac8d,gemme.clothing,Clothing (Brand)
18,6375d6a86cbf1b635cd3ac8e,tigerbalmsg,Pharmaceuticals
19,6375d6a86cbf1b635cd3ac8f,chamberlaincoffee,Coffee shop
20,6375d6a86cbf1b635cd3ac90,jacob.mahler,Athlete
21,6375d6a86cbf1b635cd3ac91,ceramiqueaesthetics,Local business
22,6375d6a86cbf1b635cd3ac92,periperasingapore,"Beauty, cosmetic & personal care"
23,6375d6a86cbf1b635cd3ac93,aolsg,Community Organization
24,6375d6a86cbf1b635cd3ac94,dermalab_sg,Health/beauty
25,6375d6a86cbf1b635cd3ac95,v_shantipereira,Athlete
26,6375d6a86cbf1b635cd3ac96,sleepiingalien,Fictional Character
27,6375d6a86cbf1b635cd3ac97,theisabellachan,Fashion Stylist
28,6375d6a86cbf1b635cd3ac98,mowindigital,Information Technology Company
29,6375d6a86cbf1b635cd3ac99,glennyqh,Public figure
30,6375d6a86cbf1b635cd3ac9a,portraitvision,Community
31,6375d6a86cbf1b635cd3ac9b,wahbananasg,Comedian
32,6375d6a86cbf1b635cd3ac9c,kahying_,Photographer
33,6375d6a86cbf1b635cd3ac9d,gentlemonster,Product/service
34,6375d6a86cbf1b635cd3ac9e,swoshsg,Product/service
35,6375d6a86cbf1b635cd3ac9f,kaadas.singapore,Electronics
36,6375d6a86cbf1b635cd3aca0,dfwcreative,Advertising/Marketing
37,6375d6a86cbf1b635cd3aca1,diownbeauty,Beauty Salon
38,6375d6a86cbf1b635cd3aca2,fromdearme,Shopping & retail
39,6375d6a86cbf1b635cd3aca3,ipseipsaipsum,Home decor
40,6375d6a86cbf1b635cd3aca4,dmkshoes,Retail company
41,6375d6a86cbf1b635cd3aca5,aibimaxwell,Gym/Physical Fitness Center
42,6375d6a86cbf1b635cd3aca6,rickowensonline,Clothing (Brand)
43,6375d6a86cbf1b635cd3aca7,bookxcess,Local business
44,6375d6a86cbf1b635cd3aca8,atome.sg,Product/service
45,6375d6a86cbf1b635cd3aca9,ssunsu_sg,Health/beauty
46,6375d6a86cbf1b635cd3acaa,_shinekoh,Actor
47,6375d6a86cbf1b635cd3acab,privateroomsg,Beauty Salon
48,6375d6a86cbf1b635cd3acac,jomalonelondon,Shopping & retail
49,6375d6a86cbf1b635cd3acad,wellssingapore,Product/service
50,6375d6a86cbf1b635cd3acae,darylaiden,Photographer
51,6375d6a86cbf1b635cd3acaf,monstertv.online,Media
52,6375d6a86cbf1b635cd3acb0,charshaobau,Personal blog
53,6375d6a86cbf1b635cd3acb1,misstamchiak,Digital creator
54,6375d6a86cbf1b635cd3acb2,jaion.t,Digital creator
55,6375d6a86cbf1b635cd3acb3,reubenfoong,Artist
56,6375d6a86cbf1b635cd3acb4,aimanomg,Personal blog
57,6375d6a86cbf1b635cd3acb5,aglimpseofrach,Blogger
58,6375d6a86cbf1b635cd3acb6,photonow.sg,Photographer
59,6375d6a86cbf1b635cd3acb7,clarinssg,Beauty Supply Store
60,6375d6a86cbf1b635cd3acb8,charrlsy,Digital creator
61,6375d6a86cbf1b635cd3acb9,yinclub,Home Improvement
62,6375d6a86cbf1b635cd3acba,twirlboss,Product/service
63,6375d6a86cbf1b635cd3acbb,mykemotus,Producer
64,6375d6a86cbf1b635cd3acbc,nailsbystyle.r,Nail Salon
65,6375d6a86cbf1b635cd3acbd,thepaperbunny,Shopping & retail
