username,url,comments,all_res,sentiment_class,sentiment_score,binary_class,binary_score
eshuxia,https:/www.instagram.com/p/Ckfx5zMPDVl/,And skip the Hotteok opposite the donut 😂,"[[{'label': 'anger', 'score': 0.006503419950604439}, {'label': 'disgust', 'score': 0.006324990652501583}, {'label': 'fear', 'score': 0.0024091219529509544}, {'label': 'joy', 'score': 0.006079056765884161}, {'label': 'neutral', 'score': 0.9682105183601379}, {'label': 'sadness', 'score': 0.005999647546559572}, {'label': 'surprise', 'score': 0.004473235923796892}]]",neutral,0.968210518360138,NEGATIVE,0.9994811415672302
eshuxia,https:/www.instagram.com/p/CkVdgIiPxJx/,I noticed that too in cabs!! Permanent filter 😂,"[[{'label': 'anger', 'score': 0.03424833342432976}, {'label': 'disgust', 'score': 0.09654027968645096}, {'label': 'fear', 'score': 0.0048370445147156715}, {'label': 'joy', 'score': 0.01079410407692194}, {'label': 'neutral', 'score': 0.4135134518146515}, {'label': 'sadness', 'score': 0.00941337551921606}, {'label': 'surprise', 'score': 0.43065345287323}]]",surprise,0.43065345287323,NEGATIVE,0.9991355538368224
eshuxia,https:/www.instagram.com/p/CkVdgIiPxJx/,😒,"[[{'label': 'anger', 'score': 0.3422265946865082}, {'label': 'disgust', 'score': 0.2667786478996277}, {'label': 'fear', 'score': 0.023910947144031525}, {'label': 'joy', 'score': 0.014119088649749756}, {'label': 'neutral', 'score': 0.32364603877067566}, {'label': 'sadness', 'score': 0.025946859270334244}, {'label': 'surprise', 'score': 0.003371747676283121}]]",anger,0.3422265946865082,NEGATIVE,0.6970565915107727
eshuxia,https:/www.instagram.com/p/CkLD3rTP9kY/,🥲🥲🥲,"[[{'label': 'anger', 'score': 0.0568617545068264}, {'label': 'disgust', 'score': 0.017923394218087196}, {'label': 'fear', 'score': 0.054908256977796555}, {'label': 'joy', 'score': 0.17195279896259308}, {'label': 'neutral', 'score': 0.6362241506576538}, {'label': 'sadness', 'score': 0.03762856870889664}, {'label': 'surprise', 'score': 0.024501074105501175}]]",neutral,0.6362241506576538,NEGATIVE,0.6970565915107727
eshuxia,https:/www.instagram.com/p/CkLD3rTP9kY/,Where is this place in Korea ?,"[[{'label': 'anger', 'score': 0.008030476048588753}, {'label': 'disgust', 'score': 0.00890137068927288}, {'label': 'fear', 'score': 0.005948367528617382}, {'label': 'joy', 'score': 0.0028693764470517635}, {'label': 'neutral', 'score': 0.7380495667457581}, {'label': 'sadness', 'score': 0.013161992654204369}, {'label': 'surprise', 'score': 0.22303883731365204}]]",neutral,0.7380495667457581,NEGATIVE,0.9975733160972596
eshuxia,https:/www.instagram.com/p/Ck2UkLNLKd_/,🐘🐘🤣🤣,"[[{'label': 'anger', 'score': 0.04988236725330353}, {'label': 'disgust', 'score': 0.010243365541100502}, {'label': 'fear', 'score': 0.0432046502828598}, {'label': 'joy', 'score': 0.1787310540676117}, {'label': 'neutral', 'score': 0.6687350273132324}, {'label': 'sadness', 'score': 0.037717707455158234}, {'label': 'surprise', 'score': 0.011485807597637177}]]",neutral,0.6687350273132324,NEGATIVE,0.6970565915107727
eshuxia,https:/www.instagram.com/p/Ckn5simPfHU/,"Hi Shar, does this eyelet fabric crease easily?launching this week?","[[{'label': 'anger', 'score': 0.011068658903241158}, {'label': 'disgust', 'score': 0.0018596401205286384}, {'label': 'fear', 'score': 0.004458450246602297}, {'label': 'joy', 'score': 0.07901827991008759}, {'label': 'neutral', 'score': 0.4062023460865021}, {'label': 'sadness', 'score': 0.012580488808453083}, {'label': 'surprise', 'score': 0.48481205105781555}]]",surprise,0.4848120510578155,NEGATIVE,0.9316469430923462
eshuxia,https:/www.instagram.com/p/Ck55Tspvvxy/,What is the restaurant name? Is it in Spore?,"[[{'label': 'anger', 'score': 0.006268734578043222}, {'label': 'disgust', 'score': 0.0041337148286402225}, {'label': 'fear', 'score': 0.004579894244670868}, {'label': 'joy', 'score': 0.0030813359189778566}, {'label': 'neutral', 'score': 0.8963198065757751}, {'label': 'sadness', 'score': 0.004658978898078203}, {'label': 'surprise', 'score': 0.08095753937959671}]]",neutral,0.8963198065757751,NEGATIVE,0.9988973140716552
eshuxia,https:/www.instagram.com/p/CkV5k2Vyj1s/,😍👏,"[[{'label': 'anger', 'score': 0.09270909428596497}, {'label': 'disgust', 'score': 0.03903291001915932}, {'label': 'fear', 'score': 0.018582245334982872}, {'label': 'joy', 'score': 0.04123589023947716}, {'label': 'neutral', 'score': 0.7699925899505615}, {'label': 'sadness', 'score': 0.0290933009237051}, {'label': 'surprise', 'score': 0.009354009293019772}]]",neutral,0.7699925899505615,NEGATIVE,0.6970565915107727
eshuxia,https:/www.instagram.com/p/CkV5k2Vyj1s/,Nice right hahahahaha,"[[{'label': 'anger', 'score': 0.006500468589365482}, {'label': 'disgust', 'score': 0.0033034321386367083}, {'label': 'fear', 'score': 0.0009611349087208509}, {'label': 'joy', 'score': 0.86112380027771}, {'label': 'neutral', 'score': 0.10230229049921036}, {'label': 'sadness', 'score': 0.005204170010983944}, {'label': 'surprise', 'score': 0.020604820922017097}]]",joy,0.86112380027771,POSITIVE,0.9998015761375428
eshuxia,https:/www.instagram.com/p/Ck3W3g_jyJ_/,When is this in stores?😍,"[[{'label': 'anger', 'score': 0.023765407502651215}, {'label': 'disgust', 'score': 0.009055026806890965}, {'label': 'fear', 'score': 0.01809144951403141}, {'label': 'joy', 'score': 0.0033424012362957}, {'label': 'neutral', 'score': 0.7712302207946777}, {'label': 'sadness', 'score': 0.012407534755766392}, {'label': 'surprise', 'score': 0.1621079444885254}]]",neutral,0.7712302207946777,NEGATIVE,0.9991694688796996
eshuxia,https:/www.instagram.com/p/Ck3W3g_jyJ_/,😍😍😍,"[[{'label': 'anger', 'score': 0.12161625176668167}, {'label': 'disgust', 'score': 0.04986825957894325}, {'label': 'fear', 'score': 0.03936699777841568}, {'label': 'joy', 'score': 0.06958366930484772}, {'label': 'neutral', 'score': 0.6053075194358826}, {'label': 'sadness', 'score': 0.09122774004936218}, {'label': 'surprise', 'score': 0.02302943356335163}]]",neutral,0.6053075194358826,NEGATIVE,0.6970565915107727
eshuxia,https:/www.instagram.com/p/Ck3W3g_jyJ_/,😍😍,"[[{'label': 'anger', 'score': 0.1112423911690712}, {'label': 'disgust', 'score': 0.052428338676691055}, {'label': 'fear', 'score': 0.02777562476694584}, {'label': 'joy', 'score': 0.05773245170712471}, {'label': 'neutral', 'score': 0.6610772013664246}, {'label': 'sadness', 'score': 0.0721854493021965}, {'label': 'surprise', 'score': 0.01755852997303009}]]",neutral,0.6610772013664246,NEGATIVE,0.6970565915107727
eshuxia,https:/www.instagram.com/p/CklVQf5vDdP/,"실례지만, 𝗗𝗠한번 부탁드려요 𝗱:","[[{'label': 'anger', 'score': 0.032057419419288635}, {'label': 'disgust', 'score': 0.014362151734530926}, {'label': 'fear', 'score': 0.050495944917201996}, {'label': 'joy', 'score': 0.01418774202466011}, {'label': 'neutral', 'score': 0.8391098380088806}, {'label': 'sadness', 'score': 0.03008785843849182}, {'label': 'surprise', 'score': 0.01969907246530056}]]",neutral,0.8391098380088806,NEGATIVE,0.6019788980484009
eshuxia,https:/www.instagram.com/p/CkGcpAJy-60/,😍,"[[{'label': 'anger', 'score': 0.10557583719491959}, {'label': 'disgust', 'score': 0.06495044380426407}, {'label': 'fear', 'score': 0.01844700425863266}, {'label': 'joy', 'score': 0.03392431512475014}, {'label': 'neutral', 'score': 0.7202939987182617}, {'label': 'sadness', 'score': 0.047199148684740067}, {'label': 'surprise', 'score': 0.009609296917915344}]]",neutral,0.7202939987182617,NEGATIVE,0.6970565915107727
eshuxia,https:/www.instagram.com/p/CkGcpAJy-60/,Pretty ❤️,"[[{'label': 'anger', 'score': 0.007369052153080702}, {'label': 'disgust', 'score': 0.010913795791566372}, {'label': 'fear', 'score': 0.003077189438045025}, {'label': 'joy', 'score': 0.3561558723449707}, {'label': 'neutral', 'score': 0.5772667527198792}, {'label': 'sadness', 'score': 0.025546811521053314}, {'label': 'surprise', 'score': 0.019670503214001656}]]",neutral,0.5772667527198792,POSITIVE,0.9980450868606568
eshuxia,https:/www.instagram.com/p/CkGcpAJy-60/,😍😍,"[[{'label': 'anger', 'score': 0.1112423911690712}, {'label': 'disgust', 'score': 0.052428338676691055}, {'label': 'fear', 'score': 0.02777562476694584}, {'label': 'joy', 'score': 0.05773245170712471}, {'label': 'neutral', 'score': 0.6610772013664246}, {'label': 'sadness', 'score': 0.0721854493021965}, {'label': 'surprise', 'score': 0.01755852997303009}]]",neutral,0.6610772013664246,NEGATIVE,0.6970565915107727
eshuxia,https:/www.instagram.com/p/CkxxmjmPa5F/,Maybe my exact words were to drive off without all of you outside the car 😏 @eshuxia @daisydoopz,"[[{'label': 'anger', 'score': 0.4081421196460724}, {'label': 'disgust', 'score': 0.0009463767637498677}, {'label': 'fear', 'score': 0.34403300285339355}, {'label': 'joy', 'score': 0.03240923210978508}, {'label': 'neutral', 'score': 0.048981644213199615}, {'label': 'sadness', 'score': 0.11332053691148758}, {'label': 'surprise', 'score': 0.05216703563928604}]]",anger,0.4081421196460724,NEGATIVE,0.9855239987373352
eshuxia,https:/www.instagram.com/p/CkxxmjmPa5F/,We find baguettes are the best props in photoshoots! 🥖,"[[{'label': 'anger', 'score': 0.03344421461224556}, {'label': 'disgust', 'score': 0.02126818150281906}, {'label': 'fear', 'score': 0.007259996607899666}, {'label': 'joy', 'score': 0.44743162393569946}, {'label': 'neutral', 'score': 0.4051692485809326}, {'label': 'sadness', 'score': 0.005583083722740412}, {'label': 'surprise', 'score': 0.07984353601932526}]]",joy,0.4474316239356994,POSITIVE,0.9993378520011902
eshuxia,https:/www.instagram.com/p/CkxxmjmPa5F/,wow it made it to the feed 🥸,"[[{'label': 'anger', 'score': 0.005127013195306063}, {'label': 'disgust', 'score': 0.0012067145435139537}, {'label': 'fear', 'score': 0.005507266614586115}, {'label': 'joy', 'score': 0.005513341166079044}, {'label': 'neutral', 'score': 0.006940891966223717}, {'label': 'sadness', 'score': 0.0017975467490032315}, {'label': 'surprise', 'score': 0.9739072322845459}]]",surprise,0.973907232284546,POSITIVE,0.9980130195617676
eshuxia,https:/www.instagram.com/p/CkxxmjmPa5F/,My exact words were “Rushing already and you still have time to do this!” 😒 Then I told @nicolegmh_ “let’s drive off without her!!!” 😌,"[[{'label': 'anger', 'score': 0.08950572460889816}, {'label': 'disgust', 'score': 0.0051720961928367615}, {'label': 'fear', 'score': 0.0650060698390007}, {'label': 'joy', 'score': 0.01722422055900097}, {'label': 'neutral', 'score': 0.6547234058380127}, {'label': 'sadness', 'score': 0.030702000483870506}, {'label': 'surprise', 'score': 0.13766641914844513}]]",neutral,0.6547234058380127,NEGATIVE,0.98978453874588
eshuxia,https:/www.instagram.com/p/CkiyYGFPgEm/,"분위기가 좋으시네요 ❤️ 여쭈어볼 게 있는데 , 잠시 디엠 가능하신가요 ~?","[[{'label': 'anger', 'score': 0.024629008024930954}, {'label': 'disgust', 'score': 0.005348412785679102}, {'label': 'fear', 'score': 0.12157733738422394}, {'label': 'joy', 'score': 0.03625766560435295}, {'label': 'neutral', 'score': 0.6861468553543091}, {'label': 'sadness', 'score': 0.058178726583719254}, {'label': 'surprise', 'score': 0.06786198168992996}]]",neutral,0.6861468553543091,POSITIVE,0.5456415414810181
shermainezy,https:/www.instagram.com/p/CeKwqRDPy0P/,DM 📩,"[[{'label': 'anger', 'score': 0.011093058623373508}, {'label': 'disgust', 'score': 0.010566900484263897}, {'label': 'fear', 'score': 0.008255714550614357}, {'label': 'joy', 'score': 0.011982394382357597}, {'label': 'neutral', 'score': 0.9319615960121155}, {'label': 'sadness', 'score': 0.022022802382707596}, {'label': 'surprise', 'score': 0.0041175480000674725}]]",neutral,0.9319615960121156,NEGATIVE,0.8729129433631897
shermainezy,https:/www.instagram.com/p/CeKwqRDPy0P/,❤️ @shermainezy,"[[{'label': 'anger', 'score': 0.026068681851029396}, {'label': 'disgust', 'score': 0.0016642252448946238}, {'label': 'fear', 'score': 0.05943522974848747}, {'label': 'joy', 'score': 0.26992419362068176}, {'label': 'neutral', 'score': 0.5182645320892334}, {'label': 'sadness', 'score': 0.10312839597463608}, {'label': 'surprise', 'score': 0.021514762192964554}]]",neutral,0.5182645320892334,NEGATIVE,0.8986791968345642
shermainezy,https:/www.instagram.com/p/CeKwqRDPy0P/,❤️,"[[{'label': 'anger', 'score': 0.02386782504618168}, {'label': 'disgust', 'score': 0.03476761654019356}, {'label': 'fear', 'score': 0.01778634823858738}, {'label': 'joy', 'score': 0.0760202705860138}, {'label': 'neutral', 'score': 0.8024983406066895}, {'label': 'sadness', 'score': 0.038254931569099426}, {'label': 'surprise', 'score': 0.006804734468460083}]]",neutral,0.8024983406066895,NEGATIVE,0.6970565915107727
shermainezy,https:/www.instagram.com/p/CeKwqRDPy0P/,Check dm@pls,"[[{'label': 'anger', 'score': 0.002982372185215354}, {'label': 'disgust', 'score': 0.0011285014916211367}, {'label': 'fear', 'score': 0.0013473927974700928}, {'label': 'joy', 'score': 0.00689313979819417}, {'label': 'neutral', 'score': 0.941765546798706}, {'label': 'sadness', 'score': 0.011969054117798805}, {'label': 'surprise', 'score': 0.03391404449939728}]]",neutral,0.941765546798706,NEGATIVE,0.98093181848526
